Frecuencia,Amplitud,Fase,Escala
50140.14014014014,0.0166627,-111.906,1.0
50140.54054054054,0.0164796,-111.954,1.0
50140.94094094094,0.0162965,-111.954,1.0
50141.341341341344,0.0160524,-112.002,1.0
50141.74174174174,0.0159303,-112.002,1.0
50142.14214214214,0.0156862,-112.002,1.0
50142.54254254254,0.015564,-112.008,1.0
50142.942942942944,0.0153809,-112.008,1.0
50143.343343343346,0.0151978,-112.008,1.0
50143.74374374374,0.0150147,-112.134,1.0
50144.14414414414,0.0148316,-112.134,1.0
50144.544544544544,0.0146485,-112.092,1.0
50144.944944944946,0.0145264,-112.218,1.0
50145.34534534535,0.0143433,-112.17,1.0
50145.74574574574,0.0142213,-112.176,1.0
50146.146146146144,0.0140381,-112.254,1.0
50146.546546546546,0.0139161,-112.212,1.0
50146.94694694695,0.013733,-112.344,1.0
50147.34734734735,0.0136109,-112.296,1.0
50147.747747747744,0.0134278,-112.248,1.0
50148.148148148146,0.0133057,-112.332,1.0
50148.54854854855,0.0131837,-112.284,1.0
50148.94894894895,0.0130005,-112.374,1.0
50149.34934934935,0.0128785,-112.326,1.0
50149.74974974975,0.0127564,-112.356,1.0
50150.15015015015,0.0125733,-112.308,1.0
50150.55055055055,0.0124512,-112.398,1.0
50150.95095095095,0.0123902,-112.428,1.0
50151.35135135135,0.0122071,-112.38,1.0
50151.751751751755,0.012085,-112.476,1.0
50152.15215215215,0.011963,-112.362,1.0
50152.55255255255,0.0118409,-112.458,1.0
50152.95295295295,0.0117188,-112.494,1.0
50153.353353353355,0.0116578,-112.53,1.0
50153.75375375376,0.0114747,-112.416,1.0
50154.15415415415,0.0113526,-112.518,1.0
50154.554554554554,0.0112916,-112.554,1.0
50154.954954954956,0.0111695,-112.59,1.0
50155.35535535536,0.0110474,-112.632,1.0
50155.75575575576,0.0109254,-112.512,1.0
50156.156156156154,0.0108643,-112.554,1.0
50156.556556556556,0.0107422,-112.59,1.0
50156.95695695696,0.0106202,-112.632,1.0
50157.35735735736,0.0104981,-112.674,1.0
50157.75775775776,0.010376,-112.716,1.0
50158.158158158156,0.010315,-112.59,1.0
50158.55855855856,0.010254,-112.734,1.0
50158.95895895896,0.0101319,-112.602,1.0
50159.35935935936,0.0100098,-112.65,1.0
50159.75975975976,0.00994879,-112.62,1.0
50160.16016016016,0.00982672,-112.662,1.0
50160.56056056056,0.00976568,-112.71,1.0
50160.96096096096,0.00964361,-112.68,1.0
50161.36136136136,0.00952154,-112.728,1.0
50161.761761761765,0.00946051,-112.698,1.0
50162.16216216216,0.00939947,-112.746,1.0
50162.56256256256,0.0092774,-112.716,1.0
50162.96296296296,0.00921637,-112.68,1.0
50163.363363363365,0.0090943,-112.734,1.0
50163.76376376377,0.00903326,-112.698,1.0
50164.16416416416,0.00891119,-112.752,1.0
50164.56456456456,0.00885016,-112.716,1.0
50164.964964964965,0.00878912,-112.686,1.0
50165.36536536537,0.00872809,-112.854,1.0
50165.76576576577,0.00860602,-112.908,1.0
50166.166166166164,0.00854498,-112.878,1.0
50166.566566566566,0.00848395,-112.842,1.0
