Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
-4.2000000000000004e-05,-1.0,-0.0016,0.02,0.0004
-4.196e-05,-1.0,0.0008,0.02,0.0004
-4.1920000000000005e-05,-0.98,-0.0016,0.02,0.0004
-4.188e-05,-1.0,0.0012000000000000001,0.02,0.0004
-4.1840000000000006e-05,-1.0,0.0036000000000000003,0.02,0.0004
-4.18e-05,-1.0,0.0044,0.02,0.0004
-4.176e-05,-0.98,0.0044,0.02,0.0004
-4.172e-05,-1.0,0.0028,0.02,0.0004
-4.168e-05,-1.02,0.0032,0.02,0.0004
-4.164e-05,-1.0,0.0008,0.02,0.0004
-4.16e-05,-1.02,-0.0032,0.02,0.0004
-4.156e-05,-1.04,-0.0064,0.02,0.0004
-4.152e-05,-1.0,-0.007200000000000001,0.02,0.0004
-4.148e-05,-1.02,-0.004,0.02,0.0004
-4.144e-05,-1.0,-0.0036000000000000003,0.02,0.0004
-4.1400000000000003e-05,-1.0,-0.0048000000000000004,0.02,0.0004
-4.1360000000000004e-05,-1.02,-0.005200000000000001,0.02,0.0004
-4.1320000000000004e-05,-1.02,-0.0044,0.02,0.0004
-4.1280000000000005e-05,-1.04,-0.0008,0.02,0.0004
-4.1240000000000005e-05,-1.02,0.0016,0.02,0.0004
-4.12e-05,-1.02,-0.0008,0.02,0.0004
-4.1160000000000006e-05,-1.04,-0.0044,0.02,0.0004
-4.112e-05,-0.98,-0.0024000000000000002,0.02,0.0004
-4.108e-05,-0.98,-0.0004,0.02,0.0004
-4.104e-05,-1.02,-0.0008,0.02,0.0004
-4.1e-05,-1.0,0.0,0.02,0.0004
-4.096e-05,-1.02,0.002,0.02,0.0004
-4.092e-05,-0.98,0.0036000000000000003,0.02,0.0004
-4.088e-05,-1.0,0.002,0.02,0.0004
-4.084e-05,-1.0,0.0,0.02,0.0004
-4.08e-05,-1.0,-0.0012000000000000001,0.02,0.0004
-4.076e-05,-1.0,0.0004,0.02,0.0004
-4.072e-05,-1.0,0.0008,0.02,0.0004
-4.0680000000000004e-05,-1.02,-0.0036000000000000003,0.02,0.0004
-4.0640000000000004e-05,-0.98,-0.0056,0.02,0.0004
-4.0600000000000004e-05,-1.02,-0.0032,0.02,0.0004
-4.0560000000000005e-05,-1.0,0.002,0.02,0.0004
-4.052e-05,-1.02,0.0068000000000000005,0.02,0.0004
-4.0480000000000005e-05,-1.02,0.0048000000000000004,0.02,0.0004
-4.044e-05,-1.0,0.0008,0.02,0.0004
-4.0400000000000006e-05,-1.02,-0.0016,0.02,0.0004
-4.036e-05,-0.98,-0.0008,0.02,0.0004
-4.032e-05,-1.0,-0.0004,0.02,0.0004
-4.028e-05,-1.02,-0.0028,0.02,0.0004
-4.024e-05,-1.0,-0.0056,0.02,0.0004
-4.02e-05,-1.02,-0.0044,0.02,0.0004
-4.016e-05,-1.0,-0.0044,0.02,0.0004
-4.012e-05,-1.02,-0.0032,0.02,0.0004
-4.008e-05,-1.02,-0.0004,0.02,0.0004
-4.004e-05,-1.02,0.0008,0.02,0.0004
-4e-05,-1.02,0.0012000000000000001,0.02,0.0004
-3.9960000000000004e-05,-1.02,-0.0016,0.02,0.0004
-3.9920000000000004e-05,-1.02,-0.0024000000000000002,0.02,0.0004
-3.9880000000000004e-05,-0.98,-0.0012000000000000001,0.02,0.0004
-3.984e-05,-1.02,0.0004,0.02,0.0004
-3.9800000000000005e-05,-1.0,0.0004,0.02,0.0004
-3.976e-05,-1.02,-0.0012000000000000001,0.02,0.0004
-3.9720000000000006e-05,-1.0,-0.0004,0.02,0.0004
-3.968e-05,-1.02,0.0004,0.02,0.0004
-3.964e-05,-1.02,0.004,0.02,0.0004
-3.96e-05,-1.0,0.0068000000000000005,0.02,0.0004
-3.956e-05,-1.02,0.0032,0.02,0.0004
-3.952e-05,-0.98,-0.0008,0.02,0.0004
-3.948e-05,-1.0,-0.002,0.02,0.0004
-3.944e-05,-1.02,-0.0028,0.02,0.0004
-3.94e-05,-1.0,-0.004,0.02,0.0004
-3.936e-05,-1.02,-0.0044,0.02,0.0004
-3.932e-05,-1.02,-0.0008,0.02,0.0004
-3.9280000000000003e-05,-1.02,0.0012000000000000001,0.02,0.0004
-3.9240000000000004e-05,-1.0,0.0004,0.02,0.0004
-3.9200000000000004e-05,-1.0,0.0004,0.02,0.0004
-3.9160000000000005e-05,-1.02,0.0016,0.02,0.0004
-3.9120000000000005e-05,-1.02,0.0028,0.02,0.0004
-3.908e-05,-1.02,0.0024000000000000002,0.02,0.0004
-3.9040000000000006e-05,-0.98,-0.0016,0.02,0.0004
-3.9e-05,-1.02,-0.0044,0.02,0.0004
-3.896e-05,-1.0,-0.004,0.02,0.0004
-3.892e-05,-1.0,0.0008,0.02,0.0004
-3.888e-05,-1.0,0.0036000000000000003,0.02,0.0004
-3.884e-05,-1.0,0.0016,0.02,0.0004
-3.88e-05,-1.02,0.0,0.02,0.0004
-3.876e-05,-1.0,0.0,0.02,0.0004
-3.872e-05,-1.02,0.0024000000000000002,0.02,0.0004
-3.868e-05,-1.02,0.004,0.02,0.0004
-3.864e-05,-1.02,0.0016,0.02,0.0004
-3.86e-05,-1.02,-0.0012000000000000001,0.02,0.0004
-3.8560000000000004e-05,-1.0,-0.0008,0.02,0.0004
