Frecuencias,Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
18915050.036196534,-5.67e-08,0.18,0.0056,0.02,0.0004
18915050.036196534,-5.659999999999999e-08,0.18,0.0056,0.02,0.0004
18915050.036196534,-5.6499999999999996e-08,0.2,0.005200000000000001,0.02,0.0004
18915050.036196534,-5.639999999999999e-08,0.2,0.005200000000000001,0.02,0.0004
18915050.036196534,-5.6299999999999995e-08,0.2,0.005200000000000001,0.02,0.0004
18915050.036196534,-5.619999999999999e-08,0.22,0.005200000000000001,0.02,0.0004
18915050.036196534,-5.609999999999999e-08,0.22,0.005200000000000001,0.02,0.0004
18915050.036196534,-5.5999999999999985e-08,0.24,0.005200000000000001,0.02,0.0004
18915050.036196534,-5.589999999999999e-08,0.24,0.0048000000000000004,0.02,0.0004
18915050.036196534,-5.58e-08,0.24,0.0048000000000000004,0.02,0.0004
18915050.036196534,-5.569999999999999e-08,0.26,0.0048000000000000004,0.02,0.0004
18915050.036196534,-5.5599999999999995e-08,0.26,0.0048000000000000004,0.02,0.0004
18915050.036196534,-5.549999999999999e-08,0.28,0.0044,0.02,0.0004
18915050.036196534,-5.539999999999999e-08,0.28,0.0044,0.02,0.0004
18915050.036196534,-5.5299999999999986e-08,0.28,0.004,0.02,0.0004
18915050.036196534,-5.519999999999999e-08,0.3,0.004,0.02,0.0004
18915050.036196534,-5.51e-08,0.3,0.004,0.02,0.0004
18915050.036196534,-5.499999999999999e-08,0.32,0.0036000000000000003,0.02,0.0004
18915050.036196534,-5.4899999999999995e-08,0.32,0.0036000000000000003,0.02,0.0004
18915050.036196534,-5.479999999999999e-08,0.32,0.0032,0.02,0.0004
18915050.036196534,-5.4699999999999994e-08,0.34,0.0032,0.02,0.0004
18915050.036196534,-5.4599999999999986e-08,0.34,0.0032,0.02,0.0004
18915050.036196534,-5.449999999999999e-08,0.36,0.0028,0.02,0.0004
18915050.036196534,-5.44e-08,0.36,0.0028,0.02,0.0004
18915050.036196534,-5.429999999999999e-08,0.36,0.0028,0.02,0.0004
18915050.036196534,-5.4199999999999996e-08,0.38,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.409999999999999e-08,0.38,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.3999999999999994e-08,0.4,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.3899999999999986e-08,0.4,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.379999999999999e-08,0.4,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.37e-08,0.42,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.359999999999999e-08,0.42,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.3499999999999996e-08,0.44,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.339999999999999e-08,0.44,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.3299999999999994e-08,0.44,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.3199999999999987e-08,0.46,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.309999999999999e-08,0.46,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.3e-08,0.46,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.289999999999999e-08,0.46,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.2799999999999996e-08,0.48,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.269999999999999e-08,0.48,0.0024000000000000002,0.02,0.0004
18915050.036196534,-5.2599999999999995e-08,0.48,0.0028,0.02,0.0004
18915050.036196534,-5.249999999999999e-08,0.5,0.0028,0.02,0.0004
18915050.036196534,-5.239999999999999e-08,0.5,0.0028,0.02,0.0004
18915050.036196534,-5.2299999999999985e-08,0.5,0.0028,0.02,0.0004
18915050.036196534,-5.219999999999999e-08,0.52,0.0028,0.02,0.0004
