Frecuencia,Amplitud,Fase,Escala
50287.70903010033,0.000109137,45.216,0.0002
50287.77591973244,0.000108026,45.792,0.0002
50287.84280936455,0.000109077,44.742,0.0002
50287.90969899666,0.00011161,44.292,0.0002
50287.976588628764,0.000116937,46.752,0.0002
50288.04347826087,0.000113294,44.736,0.0002
50288.11036789298,0.000119493,44.622,0.0002
50288.17725752509,0.000120998,46.236,0.0002
50288.24414715719,0.000118956,45.93,0.0002
50288.311036789295,0.000123308,48.378,0.0002
50288.3779264214,0.000123114,47.022,0.0002
50288.44481605351,0.000125282,47.652,0.0002
50288.51170568562,0.00013131,47.04,0.0002
50288.578595317726,0.000133232,48.582,0.0002
50288.64548494983,0.000129701,48.186,0.0002
50288.71237458194,0.000133925,49.302,0.0002
50288.77926421405,0.000132293,48.606,0.0002
50288.846153846156,0.000138001,49.11,0.0002
50288.913043478264,0.000136533,49.506,0.0002
50288.97993311037,0.000137866,50.124,0.0002
50289.04682274247,0.000139588,48.786,0.0002
50289.11371237458,0.000142963,49.986,0.0002
50289.18060200669,0.000145555,49.542,0.0002
50289.247491638795,0.00014335,51.348,0.0002
50289.3143812709,0.000150197,50.814,0.0002
50289.38127090301,0.000148819,50.214,0.0002
50289.44816053512,0.000148342,51.78,0.0002
50289.515050167225,0.000152343,50.622,0.0002
50289.58193979933,0.000153461,52.11,0.0002
50289.64882943144,0.000156471,52.14,0.0002
50289.71571906355,0.000158333,51.15,0.0002
50289.782608695656,0.000158899,52.686,0.0002
50289.849498327756,0.00015814,51.744,0.0002
50289.916387959864,0.00016372,51.24,0.0002
50289.98327759197,0.000164629,52.404,0.0002
50290.05016722408,0.000166536,51.87,0.0002
50290.11705685619,0.000166,52.53,0.0002
50290.183946488294,0.0001667,52.782,0.0002
50290.2508361204,0.000168235,52.308,0.0005
50290.31772575251,0.000173897,52.866,0.0005
50290.38461538462,0.000173987,53.136,0.0005
50290.451505016725,0.000177414,52.644,0.0005
50290.51839464883,0.000177146,53.286,0.0005
50290.58528428094,0.000181259,52.728,0.0005
50290.65217391304,0.00017959,53.466,0.0005
50290.71906354515,0.000182987,55.134,0.0005
50290.785953177256,0.000180663,54.078,0.0005
50290.85284280936,0.000185759,53.61,0.0005
50290.91973244147,0.000185401,53.148,0.0005
50290.98662207358,0.000188054,54.33,0.0005
50291.053511705686,0.000188411,54.342,0.0005
50291.120401337794,0.000192852,54.624,0.0005
50291.1872909699,0.000191719,54.39,0.0005
