Frecuencias,Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
150200.0,-1.109e-05,4.16,-0.0016,0.08,0.0008
150200.0,-1.108e-05,4.16,-0.0016,0.08,0.0008
150200.0,-1.107e-05,4.08,-0.0008,0.08,0.0008
150200.0,-1.106e-05,4.08,-0.0008,0.08,0.0008
150200.0,-1.1050000000000001e-05,4.08,-0.0008,0.08,0.0008
150200.0,-1.1040000000000001e-05,4.0,0.0008,0.08,0.0008
150200.0,-1.1030000000000001e-05,4.08,0.0016,0.08,0.0008
150200.0,-1.1020000000000001e-05,4.0,0.0016,0.08,0.0008
150200.0,-1.1010000000000001e-05,4.0,0.0016,0.08,0.0008
150200.0,-1.1e-05,3.92,0.0024000000000000002,0.08,0.0008
150200.0,-1.0990000000000002e-05,3.84,0.0024000000000000002,0.08,0.0008
150200.0,-1.098e-05,3.84,0.004,0.08,0.0008
150200.0,-1.097e-05,3.84,0.0048000000000000004,0.08,0.0008
150200.0,-1.096e-05,3.84,0.004,0.08,0.0008
150200.0,-1.095e-05,3.84,0.004,0.08,0.0008
150200.0,-1.094e-05,3.7600000000000002,0.0048000000000000004,0.08,0.0008
150200.0,-1.093e-05,3.68,0.0056,0.08,0.0008
150200.0,-1.092e-05,3.68,0.0064,0.08,0.0008
150200.0,-1.091e-05,3.68,0.007200000000000001,0.08,0.0008
150200.0,-1.09e-05,3.68,0.007200000000000001,0.08,0.0008
150200.0,-1.089e-05,3.6,0.007200000000000001,0.08,0.0008
150200.0,-1.0880000000000001e-05,3.52,0.008,0.08,0.0008
150200.0,-1.0870000000000001e-05,3.52,0.009600000000000001,0.08,0.0008
150200.0,-1.0860000000000001e-05,3.52,0.0088,0.08,0.0008
150200.0,-1.0850000000000001e-05,3.44,0.0088,0.08,0.0008
150200.0,-1.0840000000000001e-05,3.44,0.009600000000000001,0.08,0.0008
150200.0,-1.083e-05,3.36,0.009600000000000001,0.08,0.0008
150200.0,-1.0820000000000001e-05,3.36,0.010400000000000001,0.08,0.0008
150200.0,-1.081e-05,3.2800000000000002,0.0112,0.08,0.0008
150200.0,-1.08e-05,3.2800000000000002,0.012,0.08,0.0008
150200.0,-1.079e-05,3.2,0.0128,0.08,0.0008
150200.0,-1.078e-05,3.2,0.0128,0.08,0.0008
150200.0,-1.077e-05,3.2,0.0128,0.08,0.0008
150200.0,-1.076e-05,3.12,0.013600000000000001,0.08,0.0008
150200.0,-1.075e-05,3.12,0.014400000000000001,0.08,0.0008
150200.0,-1.074e-05,3.04,0.014400000000000001,0.08,0.0008
150200.0,-1.073e-05,3.04,0.013600000000000001,0.08,0.0008
150200.0,-1.072e-05,2.96,0.0152,0.08,0.0008
150200.0,-1.071e-05,2.88,0.016,0.08,0.0008
150200.0,-1.0700000000000001e-05,2.88,0.016,0.08,0.0008
150200.0,-1.0690000000000001e-05,2.88,0.016,0.08,0.0008
150200.0,-1.0680000000000001e-05,2.8000000000000003,0.0176,0.08,0.0008
150200.0,-1.0670000000000001e-05,2.8000000000000003,0.0176,0.08,0.0008
150200.0,-1.0660000000000001e-05,2.72,0.016800000000000002,0.08,0.0008
150200.0,-1.0650000000000001e-05,2.72,0.0176,0.08,0.0008
150200.0,-1.064e-05,2.64,0.0184,0.08,0.0008
150200.0,-1.063e-05,2.64,0.0184,0.08,0.0008
150200.0,-1.062e-05,2.56,0.019200000000000002,0.08,0.0008
150200.0,-1.061e-05,2.48,0.02,0.08,0.0008
150200.0,-1.06e-05,2.48,0.02,0.08,0.0008
150200.0,-1.059e-05,2.48,0.020800000000000003,0.08,0.0008
150200.0,-1.058e-05,2.4,0.0216,0.08,0.0008
150200.0,-1.057e-05,2.4,0.0224,0.08,0.0008
150200.0,-1.056e-05,2.32,0.0224,0.08,0.0008
150200.0,-1.055e-05,2.32,0.0224,0.08,0.0008
150200.0,-1.054e-05,2.24,0.023200000000000002,0.08,0.0008
150200.0,-1.053e-05,2.16,0.024,0.08,0.0008
150200.0,-1.0520000000000001e-05,2.16,0.024,0.08,0.0008
150200.0,-1.0510000000000001e-05,2.16,0.024,0.08,0.0008
150200.0,-1.0500000000000001e-05,2.08,0.024800000000000003,0.08,0.0008
150200.0,-1.049e-05,2.0,0.0256,0.08,0.0008
150200.0,-1.0480000000000001e-05,2.0,0.0256,0.08,0.0008
150200.0,-1.047e-05,1.92,0.0256,0.08,0.0008
150200.0,-1.0460000000000001e-05,1.84,0.024800000000000003,0.08,0.0008
150200.0,-1.045e-05,1.84,0.0256,0.08,0.0008
150200.0,-1.044e-05,1.84,0.0264,0.08,0.0008
150200.0,-1.043e-05,1.84,0.027200000000000002,0.08,0.0008
150200.0,-1.042e-05,1.76,0.027200000000000002,0.08,0.0008
150200.0,-1.041e-05,1.68,0.028,0.08,0.0008
150200.0,-1.04e-05,1.6,0.028,0.08,0.0008
150200.0,-1.039e-05,1.6,0.0296,0.08,0.0008
150200.0,-1.038e-05,1.52,0.0296,0.08,0.0008
150200.0,-1.037e-05,1.52,0.0296,0.08,0.0008
150200.0,-1.036e-05,1.44,0.0296,0.08,0.0008
150200.0,-1.0350000000000001e-05,1.44,0.0296,0.08,0.0008
150200.0,-1.0340000000000001e-05,1.36,0.0304,0.08,0.0008
150200.0,-1.0330000000000001e-05,1.28,0.0296,0.08,0.0008
150200.0,-1.0320000000000001e-05,1.28,0.0304,0.08,0.0008
150200.0,-1.0310000000000001e-05,1.2,0.0304,0.08,0.0008
150200.0,-1.03e-05,1.2,0.031200000000000002,0.08,0.0008
150200.0,-1.0290000000000001e-05,1.12,0.032,0.08,0.0008
150200.0,-1.028e-05,1.12,0.032,0.08,0.0008
150200.0,-1.027e-05,1.04,0.032,0.08,0.0008
150200.0,-1.026e-05,0.96,0.0328,0.08,0.0008
150200.0,-1.025e-05,0.96,0.033600000000000005,0.08,0.0008
150200.0,-1.024e-05,0.88,0.0328,0.08,0.0008
150200.0,-1.023e-05,0.8,0.0328,0.08,0.0008
150200.0,-1.022e-05,0.8,0.0344,0.08,0.0008
150200.0,-1.021e-05,0.8,0.0344,0.08,0.0008
150200.0,-1.02e-05,0.72,0.0344,0.08,0.0008
150200.0,-1.019e-05,0.64,0.036000000000000004,0.08,0.0008
150200.0,-1.018e-05,0.64,0.036000000000000004,0.08,0.0008
